Date,CourseID,CourseName,CourseCategory,Actual_Next_Day_Enrollment,Predicted_Next_Day_Enrollment,Actual_Next_Day_Revenue,Predicted_Next_Day_Revenue
2025-10-25,CR00051,HTML & CSS,Web Development,0.0,15.339776178768837,0.0,15.339776178768837
2025-10-25,CR00029,Natural Language Processing,Machine Learning,0.0,0.0,0.0,0.0
2025-10-25,CR00032,Ethical Hacking,Cybersecurity,1.0,0.0,0.0,0.0
2025-10-25,CR00057,SEO for E-commerce,Digital Marketing,0.0,73.73634581849626,0.0,73.73634581849626
2025-10-25,CR00050,Computer Vision,Artificial Intelligence,0.0,202.84990997654225,0.0,202.84990997654225
2025-10-25,CR00020,Email Marketing,Marketing,2.0,0.0,0.0,0.0
2025-10-25,CR00031,Network Security,Cybersecurity,0.0,0.0,0.0,0.0
2025-10-25,CR00039,Project Planning,Project Management,1.0,139.67850437694946,346.71,139.67850437694946
2025-10-25,CR00049,Deep Learning,Artificial Intelligence,0.0,195.12249287108207,0.0,195.12249287108207
2025-10-25,CR00035,Cyber Threat Intelligence,Cybersecurity,1.0,0.0,0.0,0.0
2025-10-25,CR00019,Content Marketing,Marketing,0.0,2.04121445546582,0.0,2.04121445546582
2025-10-25,CR00001,Python Basics,Programming,0.0,186.27655470036882,0.0,186.27655470036882
2025-10-25,CR00012,Business Strategy,Business,0.0,242.84383672351132,0.0,242.84383672351132
2025-10-25,CR00008,Photoshop Mastery,Design,0.0,0.0,0.0,0.0
2025-10-25,CR00003,C++ for Beginners,Programming,0.0,1.972198757256578,0.0,1.972198757256578
2025-10-25,CR00060,Content Creation,Digital Marketing,1.0,0.0,0.0,0.0
2025-10-25,CR00026,Intro to Machine Learning,Machine Learning,0.0,0.0,0.0,0.0
2025-10-25,CR00025,Statistical Analysis,Data Science,0.0,119.91477512037633,0.0,119.91477512037633
2025-10-25,CR00022,Data Visualization,Data Science,0.0,5.655413078440013,0.0,5.655413078440013
2025-10-25,CR00038,Risk Management,Project Management,0.0,166.9566477456649,0.0,166.9566477456649
2025-10-25,CR00041,Financial Accounting,Finance,1.0,21.397642980977263,53.86,21.397642980977263
2025-10-25,CR00007,UI/UX Design,Design,0.0,0.0,0.0,0.0
2025-10-25,CR00024,Big Data Analytics,Data Science,0.0,58.726057841945234,0.0,58.726057841945234
2025-10-25,CR00033,Cybersecurity Fundamentals,Cybersecurity,0.0,0.0,0.0,0.0
2025-10-25,CR00021,Data Analysis with Python,Data Science,0.0,1.429565777843159,0.0,1.429565777843159
2025-10-25,CR00014,Sales Mastery,Business,0.0,0.0,0.0,0.0
2025-10-25,CR00044,Personal Finance,Finance,1.0,42.86373225266824,119.04,42.86373225266824
2025-10-25,CR00016,Digital Marketing,Marketing,0.0,0.0,0.0,0.0
2025-10-25,CR00034,Data Encryption,Cybersecurity,1.0,126.53008063038945,394.26,126.53008063038945
2025-10-25,CR00045,Financial Modeling,Finance,0.0,0.0,0.0,0.0
2025-10-25,CR00027,Neural Networks,Machine Learning,0.0,0.0,0.0,0.0
2025-10-25,CR00058,Social Media Strategy,Digital Marketing,0.0,0.0,0.0,0.0
2025-10-25,CR00009,Web Design Fundamentals,Design,1.0,2.716537990410899,0.0,2.716537990410899
2025-10-25,CR00042,Investment Strategies,Finance,0.0,0.0,0.0,0.0
2025-10-25,CR00046,AI for Beginners,Artificial Intelligence,1.0,96.34240534369272,248.1,96.34240534369272
2025-10-25,CR00053,React for Beginners,Web Development,1.0,0.0,0.0,0.0
2025-10-25,CR00059,Affiliate Marketing,Digital Marketing,0.0,0.0,0.0,0.0
2025-10-25,CR00054,Backend Development with Node.js,Web Development,1.0,2.8742240559494405,0.0,2.8742240559494405
2025-10-25,CR00018,Social Media Marketing,Marketing,1.0,0.0,0.0,0.0
2025-10-25,CR00036,Agile Project Management,Project Management,0.0,6.791632410143073,0.0,6.791632410143073
2025-10-25,CR00011,Entrepreneurship 101,Business,1.0,163.21035033605347,326.02,163.21035033605347
2025-10-25,CR00015,Leadership Essentials,Business,1.0,132.6369263588018,285.05,132.6369263588018
2025-10-25,CR00048,AI Ethics,Artificial Intelligence,0.0,0.42236812476883756,0.0,0.42236812476883756
2025-10-25,CR00055,Full-Stack Web Development,Web Development,1.0,21.417656095131093,57.32,21.417656095131093
2025-10-25,CR00056,Google Ads Mastery,Digital Marketing,0.0,101.16240640110279,0.0,101.16240640110279
2025-10-25,CR00006,Graphic Design Basics,Design,0.0,114.51660653103451,0.0,114.51660653103451
2025-10-25,CR00023,Machine Learning Fundamentals,Data Science,0.0,3.9289921709227684,0.0,3.9289921709227684
2025-10-25,CR00037,Scrum Essentials,Project Management,0.0,0.0,0.0,0.0
2025-10-25,CR00040,Leadership in Projects,Project Management,0.0,179.6841865226463,0.0,179.6841865226463
2025-10-25,CR00002,Java Programming,Programming,1.0,0.0,0.0,0.0
2025-10-25,CR00028,Deep Learning,Machine Learning,0.0,2.217776371344854,0.0,2.217776371344854
2025-10-25,CR00047,Natural Language Processing,Artificial Intelligence,0.0,41.691245841354096,0.0,41.691245841354096
2025-10-25,CR00017,SEO Mastery,Marketing,0.0,4.620848873137291,0.0,4.620848873137291
